cell_id,longitude,latitude,anomaly_score,anomaly_rank,robust_distance_score,robust_distance_rank,positive_anchor_similarity,positive_anchor_rank,exploration_priority_score,feature_quality,config_b_sensitivity_similarity,config_b_sensitivity_rank
GRID-17339,80.213822,21.84067,0.1396,13373,0.0064,19547,0.7317,4648,0.5483,valid,0.6843,7807
GRID-17340,80.214113,21.840671,0.1512,12079,0.0105,10262,0.7306,4705,0.6748,valid,0.686,7681
GRID-17341,80.214403,21.840673,0.1672,10615,0.0107,10089,0.733,4568,0.6961,valid,0.7084,6030
GRID-17342,80.214693,21.840674,0.1573,11455,0.0074,16724,0.7315,4655,0.6052,valid,0.7187,5305
GRID-17343,80.214984,21.840676,0.1525,11934,0.0067,18605,0.8273,971,0.6211,valid,0.8249,1030
GRID-17344,80.215274,21.840677,0.119,16200,0.0057,21851,0.8279,961,0.5309,valid,0.8306,943
GRID-17345,80.215564,21.840678,0.0968,19920,0.0054,22909,0.7846,2063,0.4602,valid,0.7898,1936
GRID-17346,80.215854,21.84068,0.0786,23092,0.0049,24129,0.8052,1460,0.4146,valid,0.7984,1652
GRID-17347,80.216145,21.840681,0.0638,25162,0.0045,25108,0.8357,840,0.3854,valid,0.8078,1394
GRID-17348,80.216435,21.840682,0.1177,16417,0.0066,19115,0.828,958,0.5612,valid,0.8213,1093
GRID-17349,80.216725,21.840684,0.1025,18938,0.0062,20291,0.82,1110,0.5149,valid,0.7925,1841
GRID-17350,80.217016,21.840685,0.0812,22625,0.0071,17576,0.8398,774,0.5073,valid,0.8176,1164
GRID-17351,80.217306,21.840687,0.0989,19549,0.0076,16080,0.7467,3798,0.5259,valid,0.7058,6221
GRID-17352,80.217596,21.840688,0.0803,22795,0.005,23888,0.7721,2531,0.4082,valid,0.7413,4025
GRID-17353,80.217886,21.840689,0.2216,7212,0.0095,11716,0.651,10353,0.6479,valid,0.6102,14117
GRID-17354,80.218177,21.840691,0.2042,8122,0.0058,21713,0.6919,7287,0.5536,valid,0.6423,11306
GRID-17355,80.218467,21.840692,0.1003,19315,0.0056,22227,0.7696,2648,0.4686,valid,0.7463,3766
GRID-17356,80.218757,21.840693,0.2005,8325,0.0086,13530,0.8492,652,0.7294,valid,0.8083,1381
GRID-17357,80.219048,21.840695,0.113,17127,0.0068,18328,0.8686,435,0.5684,valid,0.8565,604
GRID-17358,80.219338,21.840696,0.1484,12371,0.0078,15652,0.7874,1961,0.6395,valid,0.7636,2915
GRID-17359,80.219628,21.840698,0.1179,16380,0.0111,9643,0.7863,1998,0.6631,valid,0.7757,2393
GRID-17360,80.219918,21.840699,0.1547,11707,0.0092,12274,0.8049,1472,0.694,valid,0.8108,1319
GRID-17361,80.220209,21.8407,0.1304,14561,0.0078,15411,0.8158,1194,0.6253,valid,0.7904,1917
GRID-17362,80.220499,21.840702,0.187,9180,0.0065,19507,0.7507,3578,0.612,valid,0.7128,5720
GRID-17363,80.220789,21.840703,0.1018,19038,0.0062,20433,0.7125,5871,0.4548,valid,0.6791,8216
GRID-17364,80.22108,21.840704,0.0844,22113,0.0056,22248,0.7399,4196,0.4161,valid,0.7133,5694
GRID-17365,80.22137,21.840706,0.0987,19579,0.0062,20196,0.8685,436,0.5165,valid,0.847,708
GRID-17366,80.22166,21.840707,0.2348,6633,0.0106,10180,0.5268,18746,0.5724,valid,0.5805,16530
GRID-17367,80.22195,21.840709,0.0714,24163,0.0061,20550,0.7861,2007,0.4382,valid,0.7926,1838
GRID-17368,80.222241,21.84071,0.0919,20760,0.0052,23411,0.8314,918,0.4578,valid,0.8511,661
GRID-17369,80.222531,21.840711,0.0867,21705,0.0053,23103,0.7783,2303,0.4335,valid,0.7729,2515
GRID-17370,80.222821,21.840713,0.1502,12191,0.0212,5386,0.7415,4103,0.7393,valid,0.7211,5173
GRID-17371,80.223112,21.840714,0.0994,19452,0.0138,7673,0.752,3505,0.6317,valid,0.7489,3648
GRID-17372,80.223402,21.840715,0.1014,19121,0.0102,10713,0.7113,5951,0.5697,valid,0.734,4411
GRID-17373,80.223692,21.840717,0.1144,16907,0.0181,6061,0.7857,2025,0.6995,valid,0.8096,1350
GRID-17374,80.223982,21.840718,0.2459,6155,0.0651,3047,0.7176,5541,0.8227,valid,0.7316,4533
GRID-17375,80.224273,21.840719,0.1916,8898,0.1187,2203,0.7816,2172,0.8404,valid,0.8188,1141
GRID-17376,80.224563,21.840721,0.1853,9297,0.1309,2008,0.7702,2619,0.8326,valid,0.8242,1044
GRID-17377,80.224853,21.840722,0.1887,9075,0.0852,2726,0.7096,6079,0.785,valid,0.7724,2535
GRID-17378,80.225144,21.840724,0.2043,8114,0.0319,4085,0.7318,4640,0.7975,valid,0.7776,2328
GRID-17379,80.225434,21.840725,0.156,11579,0.0384,3687,0.5634,16742,0.6151,valid,0.6224,13044
GRID-17380,80.225724,21.840726,0.1783,9769,0.0651,3046,0.6037,14094,0.6764,valid,0.6597,9799
GRID-17381,80.226015,21.840728,0.1508,12129,0.0353,3862,0.7911,1846,0.7855,valid,0.8105,1325
GRID-17382,80.226305,21.840729,0.1649,10779,0.0288,4368,0.7844,2070,0.793,valid,0.799,1636
GRID-17383,80.226595,21.84073,0.17,10357,0.0276,4480,0.8442,704,0.8131,valid,0.8596,568
GRID-17384,80.226885,21.840732,0.2152,7521,0.0239,4949,0.771,2582,0.819,valid,0.7545,3383
GRID-17385,80.227176,21.840733,0.2134,7625,0.0411,3557,0.8711,404,0.8607,valid,0.8874,363
GRID-17386,80.227466,21.840734,0.3354,3203,0.0676,3006,0.853,612,0.918,valid,0.829,965
GRID-17387,80.227756,21.840736,0.2185,7362,0.0389,3660,0.8676,447,0.8621,valid,0.8726,474
GRID-17388,80.228047,21.840737,0.1929,8795,0.0442,3448,0.8114,1301,0.8372,valid,0.8286,978
GRID-17389,80.228337,21.840739,0.233,6713,0.0668,3015,0.7393,4222,0.8323,valid,0.7293,4686
GRID-17390,80.228627,21.84074,0.4564,1282,0.0572,3179,0.3617,24619,0.6503,valid,0.4219,24183
GRID-17391,80.228917,21.840741,0.18,9644,0.0325,4050,0.5251,18838,0.6088,valid,0.5853,16135
GRID-17392,80.229208,21.840743,0.4522,1321,0.0136,7750,0.2827,25893,0.5796,valid,0.3267,25832
GRID-17393,80.229498,21.840744,0.5297,771,0.0146,7269,0.2514,26266,0.5875,valid,0.2892,26276
GRID-17394,80.229788,21.840745,0.3718,2429,0.0143,7415,0.3455,24945,0.5817,valid,0.4052,24559
GRID-17395,80.230079,21.840747,0.1697,10389,0.0117,9067,0.61,13583,0.6027,valid,0.6578,9972
GRID-17396,80.230369,21.840748,0.3176,3691,0.0124,8560,0.4305,22729,0.5794,valid,0.4967,21641
GRID-17397,80.230659,21.840749,0.4219,1630,0.0163,6549,0.3508,24850,0.6028,valid,0.4054,24553
GRID-17398,80.230949,21.840751,0.4115,1766,0.0159,6743,0.3839,24119,0.6077,valid,0.4356,23827
GRID-17399,80.23124,21.840752,0.315,3761,0.0124,8516,0.3985,23715,0.5672,valid,0.466,22879
GRID-17400,80.23153,21.840753,0.2669,5313,0.0161,6637,0.4598,21704,0.5953,valid,0.535,19659
GRID-17401,80.23182,21.840755,0.3923,2075,0.0208,5443,0.3677,24484,0.6152,valid,0.4353,23838
GRID-17402,80.232111,21.840756,0.1018,19040,0.0098,11211,0.7608,3049,0.5996,valid,0.8049,1481
GRID-17403,80.232401,21.840758,0.6623,246,0.0453,3415,0.071,27356,0.627,valid,0.0877,27346
GRID-17404,80.232691,21.840759,0.0619,25405,0.0065,19397,0.7342,4506,0.4071,valid,0.7699,2626
GRID-17405,80.232981,21.84076,0.0877,21503,0.0055,22576,0.6231,12624,0.3182,valid,0.6843,7805
GRID-17406,80.233272,21.840762,0.2343,6658,0.0094,12032,0.4748,21132,0.5212,valid,0.5491,18783
GRID-17407,80.233562,21.840763,0.0948,20257,0.0055,22546,0.5985,14450,0.3115,valid,0.6544,10281
GRID-17408,80.233852,21.840764,0.1183,16321,0.0072,17315,0.5958,14652,0.4194,valid,0.6275,12587
GRID-17409,80.234143,21.840766,0.2076,7923,0.0134,7856,0.6414,11131,0.6764,valid,0.6261,12699
